SITE_CURRENCY,$
START_TRADING,Ticarete ba?la
Login,Oturum aá
Trading password is wrong!,senin fon ?ifrenizi kontrol edin
VOL,Cilt
NEW_PWD_CANT_BE_SAME_AS_FUND_PASS,Yeni ?ifre Fon ?ifre ile ayn? olamaz
GOOGLE_AUTHENTICATOR,Google 2FA
Use your Google Authenticator or Authy app,Google ?ifrematik veya Authy uygulamas?n? kullan?n
Authenticate,kimlik do?rulamas?
Enter_2FA_Code,2FA Kodunu Girin
ENTER_COIN_QTY_BUY,Para Adet Sat?n istiyorum
ENTER_COIN_QTY_SALE,Para Adet Sat?? istiyorum
_MODULE_NOT_EXIST_,ModÅl yÅklenemiyor
_CONTROLLER_NOT_EXIST_,Denetleyici yÅklenemez
_ERROR_ACTION_,Yasad??? Eylem
_LANGUAGE_NOT_LOAD_,dil paketini yÅklenemiyor
_TEMPLATE_NOT_EXIST_,?ablon yok
_MODULE_,modÅl
_ACTION_,Aksiyon
_MODEL_NOT_EXIST_,Model yÅklenemez
_VALID_ACCESS_,eri?im yok
_XML_TAG_ERROR_,XML etiket sîzdizimi hatalar?
_DATA_TYPE_INVALID_,Yasad??? veri nesneleri!
_OPERATION_WRONG_,Operasyon hatas? olu?ur
_NOT_LOAD_DB_,veritaban?n? yÅklenemiyor
_NO_DB_DRIVER_,Veritaban? sÅrÅcÅsÅ yÅklenemedi
_NOT_SUPPORT_DB_,sistemi geáici destek veritaban? de?il
_NO_DB_CONFIG_,veritaban? yap?land?rmas? tan?mlamaz
_NOT_SUPPORT_,Sistem desteklemiyor
_CACHE_TYPE_INVALID_,înbellek tÅrÅ yÅklenemiyor
_FILE_NOT_WRITABLE_,Dizin (dosya) yaz?labilir de?il
_METHOD_NOT_EXIST_,?stedi?iniz yîntem yok!
_CLASS_NOT_EXIST_,Bir s?n?f ba?latmas?n? yok!
_CLASS_CONFLICT_,S?n?f ad? áak??malar?
_TEMPLATE_ERROR_,?ablon Motor hatalar?
_CACHE_WRITE_ERROR_,ônbellek dosyas? yazma ba?ar?s?z!
_TAGLIB_NOT_EXIST_,Etiket kÅtÅphane tan?mlanmad?
_OPERATION_FAIL_,Operasyon ba?ar?s?z!
_OPERATION_SUCCESS_,Operasyon ba?ar?l?!
_SELECT_NOT_EXIST_,Tutanak yok!
_EXPRESS_ERROR_,?fade hatalar?
_TOKEN_ERROR_,Form'?n belirteá hatalar
_RECORD_HAS_UPDATE_,Tutanak gÅncellendi
_NOT_ALLOW_PHP_,PHP kodlar? ?ablonda izin verilmez
_PARAM_ERROR_,Parametre hatas? veya tan?ms?z
_ERROR_QUERY_EXPRESS_,hatay? ifade Sorgusu
